scenario_id,description,assigned_types,road_topology,area
PC_9,"The ego vehicle passes straight through a 4-way intersection in misty, low-visibility conditions within an urban area. An adversary vehicle from the left cross-street and another from the opposing arm enter the intersection to turn or proceed straight, while a pedestrian is present near the crosswalk. The ego vehicle must proceed with heightened awareness to safely navigate past both the intersecting vehicular traffic and the pedestrian amid the reduced visibility.",19 PedestrianCrossing; 37 OppositeVehicleRunningRedLight; 38 OppositeVehicleTakingPriority,4-way intersection,urban
RN_1,"The ego vehicle travels on a multi-lane road under clear, sunny weather conditions in an urban area and enters a roundabout to execute a left turn. A red adversary vehicle positioned in the left lane next to the ego enters the roundabout concurrently, navigating the inner lane alongside it. The ego vehicle must maintain its lane discipline and monitor this adjacent adversary to safely complete its turn through the roundabout.",49 RoundaboutNavigation,roundabout,urban
RN_3,"Approaching a roundabout from the left lane, the ego vehicle (green box) intends to make a right turn but is improperly positioned. To correct its route, the ego executes a lane change into the right lane, directly impacting and cuttting off an approaching adversary (yellow box) already occupying that lane.",49 RoundaboutNavigation; 43 LaneChange,roundabout,
RN_6,"Approaching a roundabout on a multi-lane road, the ego vehicle (green box) travels alongside an adversary (yellow box) initially positioned in the left lane. As they enter and navigate the roundabout, the adversary cuts directly into the ego's lane, forcing the ego vehicle to react and adjust its behavior to avoid a collision.",49 RoundaboutNavigation; 4 StaticCutIn,roundabout,
ULT_1,"On a straight road approaching a 4-way intersection, the ego vehicle (green box) follows a leading adversary (yellow box) that intends to execute a left turn. The leading vehicle is forced to yield to an opposing adversary travelling straight through the intersection from the opposite arm, which subsequently causes the ego vehicle to stop and wait behind it until the intersection clears.",25 NonSignalizedJunctionLeftTurn; 22 BlockedIntersection,4-way intersection; straight road,
ULT_2,"The ego vehicle follows a leading red vehicle to execute a left turn through a signalized 4-way intersection in an urban area under clear weather. During the maneuver, adversary vehicles from both the opposing arm and the right-arm cross-street enter the intersection to proceed straight. The ego vehicle must maintain a safe following distance behind its lead vehicle while carefully monitoring the intersecting cross-traffic to complete its turn safely.",23 SignalizedJunctionLeftTurn,4-way intersection,urban
ULT_5,"The ego vehicle executes a left turn at a 4-way intersection at night in an urban area. Multiple adversary vehicles approaching from the opposing arm proceed straight through the intersection, directly crossing the ego's intended path. The ego vehicle must yield to these oncoming adversaries and carefully time its maneuver to safely complete the left turn without conflict.",23 SignalizedJunctionLeftTurn; 25 NonSignalizedJunctionLeftTurn,4-way intersection,urban
ULT_6,"At a 4-way intersection, the ego vehicle (green box) attempts to execute a left turn amidst cross-traffic. The ego must yield to and navigate around approaching adversaries (yellow boxes), including one traveling straight from the opposing arm and another approaching from the left arm.",23 SignalizedJunctionLeftTurn; 25 NonSignalizedJunctionLeftTurn,4-way intersection,
in_lane_approaching_long_moving,The ego vehicle is following a lane and is approaching an object that is driving in the same lane.,16 HardBrake,,
in_lane_following,The ego vehicle is following a lane and is following a dynamic object.,16 HardBrake,,
lateral_adv_changemultilane_onramp,The ego vehicle is driving forward on a multi-lane highway ramp approaching a diverging road under clear daylight conditions. The vehicle is involved in a sudden side-impact collision when a passenger car aggressively cuts across the gore area from the right highway exit ramp to force its way back onto the main road directly into the ego vehicle's path.,35 HighwayCutIn; 4 StaticCutIn,off-ramp,highway
lateral_adv_overtake_avoid_oncoming,"The ego vehicle is driving forward on a wet, two-lane rural road during a rainstorm. The vehicle is involved in a side-impact collision when an oncoming white passenger car attempts to overtake traffic, but aggressively cuts back into the ego vehicle's lane to avoid a catastrophic head-on collision with an oncoming vehicle.",18 InvadingTurn,,rural
lateral_cut_in_rural,"The ego vehicle is driving forward under highly challenging environmental conditions, navigating a narrow, wet, and foggy rural road. The ego vehicle is suddenly forced under an emergency scenario when an adversary cuts into its lane to avoid a roadside hazard, resulting in a direct side-swipe collision.",53 HazardAvoidanceCutIn,,rural
lateral_double_cut_in_highway,"The ego vehicle is driving forward under nighttime, low-visibility conditions on a highway. The ego vehicle is forced under an emergency braking scenario due to two passenger cars executing simultaneous, reckless maneuvers at a highway split, resulting in a rear-end collision.",16 HardBrake; 4 StaticCutIn,,highway
lateral_ego_overtake_truck_invade,"The ego vehicle is traveling on a multi-lane roadway on a clear morning. The vehicle is involved in a sudden side-impact collision when it attempts to overtake a large cargo truck, which unexpectedly drifts to the left and invades the ego vehicle's lane.",43 LaneChange; 18 InvadingTurn; 51 HeavyVehicle,,
lateral_lane_change_2_sudden,"On a clear daytime city road, a passenger car abruptly cuts across multiple lanes and merges directly in front of the ego vehicle, forcing heavy braking and creating a near-rear-end collision before traffic stabilizes.",4 StaticCutIn,,
lateral_navigate_parked_motorcycle,The ego vehicle is driving slowly on a busy commercial street on a clear day. The vehicle is involved in a sudden low-speed collision when a grey passenger van on the right cuts sharply into the ego vehicle's path to steer around a parked motorcycle blocking its lane.,53 HazardAvoidanceCutIn,,
lateral_sudden_enter_adv,"The ego vehicle is driving forward under clear daylight conditions on a divided highway. The ego vehicle is forced under a sudden emergency braking and swerving scenario due to a passenger car pulling out from the right shoulder and cutting completely across the highway lanes to make a left turn, resulting in a collision.",4 StaticCutIn,,highway
lateral_two_adv_cut_in_both_side_highway,"The ego vehicle is driving forward under clear, late-afternoon daylight conditions on a multi-lane highway. The ego vehicle is forced under a sudden emergency braking scenario when an invading passenger car cuts into the lane of the ego from the left, then hesitates and brakes due to a truck also merging from the right lane of the ego, causing a collision.",4 StaticCutIn; 16 HardBrake; 51 HeavyVehicle,,highway
moving_adv_stophalfway_obstructed_bus,"The ego vehicle is driving forward under clear daylight conditions on a multi-lane city street. The ego vehicle is forced under a sudden emergency swerving scenario when the passenger car directly ahead stops abruptly due to a turning vehicle blocking its path, causing the ego vehicle to veer into the adjacent left lane and side-swipe an oncoming car.",16 HardBrake,,
moving_ego_navigate_adv_too,"The ego vehicle is driving forward under clear daylight conditions on an urban roadway. The ego vehicle is forced under a sudden emergency braking and swerving scenario when it plans to navigate around a slow/stationary bus by changing lanes to the left, while another car from the far-left lane simultaneously cuts into the exact same lane, resulting in a side-swipe collision.",43 LaneChange; 4 StaticCutIn; 51 HeavyVehicle,,urban
moving_front_suddenbrake_yellow,"The ego vehicle is driving forward under overcast daylight conditions on a wide urban road approaching a large intersection. The ego vehicle is forced under a sudden emergency braking scenario when the front vehicle abruptly anchors its brakes upon the traffic light turning yellow, despite having already crossed the stop line and entered the intersection, resulting in a rear-end collision.",16 HardBrake,4-way intersection,urban
moving_sudden_enter_adv,The ego vehicle is driving forward on a multi-lane city road on an overcast day. The vehicle is involved in a sudden side-impact collision when a passenger car pulls out from a left-hand junction to turn into the ego's lane. The ego vehicle could not anticipate or see the turning vehicle because its view of the junction was completely blocked by passing oncoming traffic.,52 JunctionEntryCutIn,4-way intersection,
oncoming_adv_snowy,"The ego vehicle is driving forward on a narrow, snow-covered rural road under overcast winter daylight conditions. The vehicle is involved in a head-on or side-swipe collision when an oncoming light-colored passenger car loses traction on the icy road surface and skids directly into the ego vehicle's path.",18 InvadingTurn,,rural
oncoming_snowy_headon,"The ego vehicle is driving forward under wintry, snowy road conditions on an urban street. The ego vehicle is forced under a sudden emergency swerving scenario when an oncoming taxi suddenly turns left directly across its path; due to the inability to perform full braking on the snow-covered surface, the ego vehicle swerves to yield, resulting in a head-on collision with another oncoming vehicle that was trailing behind the traffic queue.",57 OncomingLeftTurnAcrossPath,,urban
pedestrian_bus_obstruct,"The ego vehicle is driving forward under foggy daylight conditions on a narrow two-lane rural road. The ego vehicle is forced under a sudden emergency braking scenario when it attempts to overtake a stationary bus, but instead collides with a pedestrian crossing the road directly in front of the bus, whose presence was previously obstructed from the ego vehicle's view.",15 ParkingCrossingPedestrian; 51 HeavyVehicle,,rural
pedestrian_crosses_between_vehicles,"The ego vehicle is driving forward under nighttime conditions along a narrow, unlit rural village road. The ego vehicle is forced under a sudden emergency braking scenario when a pedestrian unexpectedly crosses the road from behind a passing oncoming truck, resulting in a collision as the ego vehicle cannot stop in time due to the low visibility and short detection distance.",14 DynamicObjectCrossing,,rural
pedestrian_night_dark,"The ego vehicle is driving forward at night on an unlit highway. The vehicle is forced under a sudden emergency braking and swerving scenario when a pedestrian in light-colored clothing unexpectedly walks across the highway lanes, completely invisible until illuminated by the ego vehicle's headlights.",14 DynamicObjectCrossing,,highway
pedestrian_truck_avoid,The ego vehicle is driving on a multi-lane urban road at night. The vehicle is involved in a severe side-impact collision when a truck in the left lane panic-swerves sharply into the ego vehicle's lane to avoid hitting a pedestrian crossing the dark street.,53 HazardAvoidanceCutIn; 51 HeavyVehicle,,urban
turning_adv_exit_ego_overtake,"The ego vehicle is driving forward on a two-lane residential road on an overcast day. The ego vehicle is involved in a sudden side-impact collision when the ittries to overtake a slow-moving grey sedan, which simultaneously turns left to exit the road, cutting directly into the ego vehicle's path.",55 OvertakingIntoOncomingLane; 4 StaticCutIn,,
turning_ego_left_adv_mergesin_afterjunction,The ego vehicle is exiting a large junction by making a left turn into a multi-lane city street during clear daylight conditions. The vehicle is involved in a side-impact collision when a passenger car cuts blindly across lanes from the right side of the junction to merge directly into the ego vehicle's path.,26 NonSignalizedJunctionLeftTurnEnterFlow; 52 JunctionEntryCutIn,4-way intersection,
turning_intersection_both_straight,"The ego vehicle is driving straight under clear daylight conditions on a rural road approaching an intersection. The vehicle is involved in a sudden side-impact collision when a silver passenger van on the right arm of the intersection drives straight across, failing to yield right-of-way and cutting directly into the ego vehicle's path.",58 PerpendicularCrossingConflict,4-way intersection,rural
turning_obstructed_adv_view,"In a rural or suburban area on a straight road, the ego vehicle is driving forward when a blue taxi pulls out from the right shoulder and cuts directly into the ego's lane. This sudden cut-in maneuver forces the ego vehicle to sharply decelerate from nearly 60 km/h to a complete stop to avoid a collision.",4 StaticCutIn,straight road,rural
turning_truck_runredlight,"The ego vehicle is turning left at an intersection on a clear day. The vehicle is hit when a truck coming from the left runs a red light, speeding straight through the intersection and crashing into the side of the ego vehicle.",23 SignalizedJunctionLeftTurn; 37 OppositeVehicleRunningRedLight; 51 HeavyVehicle,4-way intersection,
