scenario_id,description
pass_obj_right_moving_away_passing_straight,the blue ego car stands at the intersection while the pink adversarial car drives straight across from left to right.
pass_straight_with_obj_from_left_crossing_after_node,"the blue ego car travels straight forward through the intersection. Meanwhile, a pink adversarial object crosses the road from the left."
pass_straight_with_obj_from_right_entering_before_node,"the ego car travels straight forward through the intersection. Simultaneously, an adversarial object enters from the right side before the intersection node"
passed_r,"the blue ego car travels straight forward within the left lane of the road. The pink adversarial car accelerates forward in the right lane, illustrating the scenario of an object passing right."
r12_town06_ins_sl,"In an urban environment, the ego car executes a left turn at a T-junction from a connecting side road. Meanwhile, an oncoming adversarial car travels straight down the main road, intersecting with the ego car's turning path."
r17_town05_ins_sr,"In an urban environment, the ego car travels straight forward through a major intersection. Concurrently, an adversarial car enters from the right cross street and makes a right turn into the same direction ahead of the ego car."
r22_town07_ins_sr,"In a rural environment, the ego car travels straight through a T-junction along the main road. Meanwhile, an adversarial car turns right from the connecting side road into the same lane ahead of the ego car."
r27_town06_hw_merge,"In a highway environment, the ego car travels straight forward along the main road structure. Meanwhile, an adversarial car drives along an entrance ramp to merge into the lane ahead of the ego car."
r2_town05_ins_c,"In an urban environment, the ego car drives straight forward along a multi-lane road structure. Meanwhile, an adversarial car occupies the adjacent straight lane just ahead of the ego car."
r32_town05_ins_oppo,"In an urban environment, the ego car travels straight forward toward a four-way intersection. An adversarial car is positioned directly ahead of the ego car in the same lane. As they reach the intersection, the adversarial car executes a left turn onto the cross street. Another adversarial car comes from the opposite direction at the same time."
r37_town05_ins_chaos,"### Environment and Road Structure

* **Environment:** The scene is set in an **urban environment** featuring multi-story city buildings, a structured parking lot, and a small park.
* **Road Structure:** The traffic participants are navigating a large **four-way intersection** with multiple lanes, highlighted by a complex overlay of vehicle trajectory paths.

### Vehicle Behaviors

* **Ego Vehicle:** The ego car is traveling straight forward from the bottom lane directly into the intersection.
* **Adversarial Vehicles (7 total):** * **Leading Car:** Located directly ahead of the ego vehicle in the same lane, initiating a right-hand turn.
* **Left-Side Cars:** Two adversarial cars are approaching the intersection from the left cross street.
* **Right-Side Cars:** Two adversarial cars are moving along the right cross street toward the intersection.
* **Oncoming Cars:** Two adversarial cars are approaching from the opposite direction, positioned near the overpass structure at the top of the frame."
r42_town05_ins_rl,"Environment and Road Structure
Environment: The scenario is set in an urban environment featuring a row of residential buildings, sidewalks, and landscaped green areas.

Road Structure: The vehicles are navigating a T-junction where a multi-lane horizontal main road meets a vertical side street.

Vehicle Behaviors
Ego Vehicle: The ego car approaches from the left along the main road and executes a right-hand turn into the vertical side street.

Adversarial Vehicles: * Primary Adversarial Car: Approaching from the right side of the main road, this adversarial car executes a left-hand turn into the same vertical side street, creating a conflicting path with the ego vehicle.

Other Vehicles: Two additional cars are present in the scene, with one following directly behind the ego car and another trailing behind the primary adversarial car."
r43_town05_ins_crosschange,"Environment and Road Structure
Environment: The scenario takes place in an urban environment, indicated by a multi-space parking lot, marked sidewalks, and city infrastructure.

Road Structure: The vehicles are positioned at the entrance of a multi-lane four-way intersection.

Vehicle Behaviors
Ego Vehicle: The ego car is located at the left approach of the intersection, positioned in the upper lane next to the traffic line.

Adversarial Vehicles (3 total): * Primary Adversarial Car: Positioned in the lower lane directly adjacent to the ego car, with its trajectory path showing a right-hand turn into the vertical cross street.

Trailing Cars: The remaining two adversarial cars are following closely behind, with one situated directly behind the ego car and the other behind the primary adversarial car."
r7_town05_ins_ss,"In an urban environment, the ego car travels straight through a four-way intersection. Meanwhile, an adversarial car proceeds straight from the cross street, cutting perpendicularly across the intersection."
right_turn_free,"the blue ego car executes a ""free right turn"" at the intersection, moving from the bottom right lane into the intersecting street."
right_turn_with_obj_from_right_crossing_before_node,"the blue ego car executes a right turn at the intersection from the bottom lane. At the same time, a pink adversarial object crosses the street from the right side"
u-turn_with_obj_from_right_crossing_after_node,"the blue ego car executes a u-turn at the intersection from the bottom lane. Simultaneously, an adversarial object crosses the street."
